"","number","date","time","ticker","price"
"9780",163368966,2018-02-20,"13:02:19","USD000UTSTOM",56.725
"9781",163368967,2018-02-20,"13:02:19","USD000UTSTOM",56.725
"9782",163368968,2018-02-20,"13:02:20","USD000UTSTOM",56.725
"9783",163368969,2018-02-20,"13:02:20","USD000UTSTOM",56.725
"9784",163368970,2018-02-20,"13:02:20","USD000UTSTOM",56.725
"9785",163368971,2018-02-20,"13:02:20","USD000UTSTOM",56.725
"9786",163368972,2018-02-20,"13:02:20","USD000UTSTOM",56.725
"9787",163368973,2018-02-20,"13:02:20","USD000UTSTOM",56.725
"9788",163368975,2018-02-20,"13:02:21","USD000UTSTOM",56.725
"9789",163368976,2018-02-20,"13:02:22","USD000UTSTOM",56.725
"9790",163368977,2018-02-20,"13:02:22","USD000UTSTOM",56.725
"9791",163368978,2018-02-20,"13:02:23","USD000UTSTOM",56.725
"9792",163368979,2018-02-20,"13:02:23","USD000UTSTOM",56.7225
"9793",163368980,2018-02-20,"13:02:23","USD000UTSTOM",56.725
"9794",163368981,2018-02-20,"13:02:23","USD000UTSTOM",56.725
"9795",163368982,2018-02-20,"13:02:23","USD000UTSTOM",56.725
"9796",163368985,2018-02-20,"13:02:23","USD000UTSTOM",56.72
"9797",163368990,2018-02-20,"13:02:26","USD000UTSTOM",56.72
"9798",163368991,2018-02-20,"13:02:26","USD000UTSTOM",56.72
"9799",163368992,2018-02-20,"13:02:27","USD000UTSTOM",56.72
"9800",163368993,2018-02-20,"13:02:27","USD000UTSTOM",56.72
"9801",163368997,2018-02-20,"13:02:42","USD000UTSTOM",56.7125
"9802",163368998,2018-02-20,"13:02:42","USD000UTSTOM",56.7125
"9803",163368999,2018-02-20,"13:02:42","USD000UTSTOM",56.715
"9804",163369000,2018-02-20,"13:02:44","USD000UTSTOM",56.715
"9805",163369001,2018-02-20,"13:02:45","USD000UTSTOM",56.72
"9806",163369006,2018-02-20,"13:02:48","USD000UTSTOM",56.715
"9807",163369025,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9808",163369026,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9809",163369024,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9810",163369023,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9811",163369020,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9812",163369019,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9813",163369018,2018-02-20,"13:02:53","USD000UTSTOM",56.71
"9814",163369014,2018-02-20,"13:02:53","USD000UTSTOM",56.71
